Name,Medium,Website,Facebook,Twitter_Name,Twitter_ID,Geography
Fayetteville Free Weekly,Newspapers,http://www.freeweekly.com/,https://www.facebook.com/freekly,freekly,1696192,AR
Northwest Arkansas Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Northwest Arkansas Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Northwest Arkansas Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Northwest Arkansas Democrat Gazette,Newspapers,http://www.nwaonline.com/,https://www.facebook.com/nwademgaz,nwademgaz,0129,AR
Mountaineer Echo,Newspapers,http://www.flippinonline.com/,https://www.facebook.com/mountaineer.echo,,,AR
Times-Herald,Newspapers,http://www.thnews.com,https://www.facebook.com/pages/Forrest-City-Times-Herald/267673259926099,,,AR
Times-Record,Newspapers,http://swtimes.com/,https://www.facebook.com/SWTimesRecord,timesrecord,2479,AR
Westside Eagle Observer,Newspapers,http://www.eagleobserver.com/,https://www.facebook.com/WestsideEagleObserver,,,AR
Greenwood Democrat,Newspapers,http://greenwooddemocrat.com/,https://www.facebook.com/pages/Greenwood-Democrat/168595086484905,,,AR
Gurdon Times,Newspapers,http://www.thegurdontimes.com/,https://www.facebook.com/gurdontimes,,,AR
Nevada County Picayune,Newspapers,http://www.picayune-times.com/,https://www.facebook.com/pages/Picayune-Times/124281300975802,,,AR
Ashley County Ledger,Newspapers,http://www.ashleycountyledger.com/,,,,AR
Harrison Daily Times,Newspapers,http://harrisondaily.com/,https://www.facebook.com/harrisondailytimes,harrisondaily,91856,AR
Grand Prairie Herald,Newspapers,http://www.herald-publishing.com,https://www.facebook.com/heraldpublishingco,,,AR
Sun-Times,Newspapers,http://www.thesuntimes.com/,https://www.facebook.com/thesuntimes,hebersuntimes,654588,AR
Daily World,Newspapers,http://www.helena-arkansas.com/,https://www.facebook.com/thehelenaworld,HelenaDaily,316691756,AR
Amigo Newspaper,Newspapers,http://www.amigonews.com/,https://www.facebook.com/ClubEnlaceAmigo,,,AR
Hope Star,Newspapers,http://www.hopestar.com/,https://www.facebook.com/pages/Hope-Star/157710260944357,,,AR
Pacesetting Times,Newspapers,http://pacesettingtimesonline.com/,https://www.facebook.com/pages/Pacesetting-Times/218213778195630,,,AR
Sentinel-Record,Newspapers,http://www.hotsr.com/,https://www.facebook.com/TheSentinelRecord,TheSenRec,264356119,AR
Village Voice,Newspapers,http://www.hsvvoice.com/,https://www.facebook.com/HSVillageVoice,,,AR
Madison County Record,Newspapers,http://www.mcrecordonline.com,https://www.facebook.com/pages/The-Madison-County-Record/63238030708,MadCoRecord,nan,AR
Jacksonville Patriot,Newspapers,http://pulaskinews.net/jacksonville-patriot,https://www.facebook.com/pages/Jacksonville-Patriot/182522228515623,JaxPatriot,47002,AR
Leader,Newspapers,http://www.arkansasleader.com/,https://www.facebook.com/arkansasleader,,,AR
Newton County Times,Newspapers,http://newtoncountytimes.com/,https://www.facebook.com/NewtonCountyTimes,NewtonCoTimes,337748993,AR
Jonesboro Sun,Newspapers,http://www.jonesborosun.com/,https://www.facebook.com/jonesborosun,TheSunJonesboro,14488831,AR
