Twitter_ID,Twitter_Name
48191052,PeppGraphic
26427495,TSLnews
69674165,saccityexpress
48073090,uofsandiego
23522406,TheDailyAztec
22571858,SpartanDaily
59003455,thesantaclara
23372163,dailycal
30275911,UCBerkeleyNews
21304166,CaliforniaAggie
14930503,NewUniversity
16960002,dailybruin
15984115,ucr_athletics
36594224,UCSDGuardian
15458277,ucsf
624983768,ucsf_synapse
34531479,dailynexus
10772102,ucsc
18652755,dailytrojan
348558832,USDVista
103097161,AkronNewsReport
1927960976,ArvadaPress
228591530,aspendailynews
46177840,TheAspenTimes
29295613,aurorasentinel
52239739,fairplayflume
22489437,berthoudrecordr
18648358,bizwestmedia
15948180,boulderweekly
14522630,coloradodaily
14504258,dailycamera
31908735,BrightonBlade
14522447,bfld_enterprise
103910758,BrushNewsTrib
373455322,ChaffeeCoTimes
103905894,BrlingtonRecord
227386410,ccdr_news
429502012,SoprisSun
24004213,csbizjournal
12837932,csgazette
54121550,csindependent
47010452,southsidebiz
325781532,HighTimberTimes
540352897,TheJournalCo
894404141086277633,craigdailypress
209138950,ColoStatesman
23274387,denbizjournal
8216772,denverpost
70148142,DUS_Tweets
494380280,DenverVOICE
1375434439,LaPrensadeCO
17451031,DENVERWESTWORD
16519670,DurangoHerald
985723544,DgoTelegraph
15690738,VailDaily
297656441,CoHoWeekly
103075501,EPTrailGazette
15691595,coloradoan
103914711,fortmorgantimes
137445528,FowlerTribune
36978283,summitdailynews
2496996247,GlenwoodPI
19594500,DailySentinelGJ
54330083,FencePostNews
15770273,GreeleyTribune
115174689,VillagerDenver
27018040,gunnisontimes
1115008843,The_JT_Breeze
103921629,JlsburgAdvocate
603059797,LaJuntaTD
103056533,lamarledger
215990827,prowersjournal
285872649,northfortynews
776323387,BentCountyDemoc
370914933,leadvilleherald
2873857441,LimonLeader
337441236,ChrisRotar
1230956564,LittletonIndie
20104506,timescall
17141766,reporterherald
124502667,LyonsRecorder
24292383,montrosepress
153474633,SunshineXNews
466170799,ocplaindealer
16017472,highcountrynews
29466736,chieftainnews
38601490,heraldtimes
362564496,TheMtnMail
615380245,SnowmassSun
13100572,steamboatpilot
1160775750,SP_Sentinel
102806255,SterlingJA
259405469,TelluridePlanet
15690738,vaildaily
32488550,WindsorBeacon
24223439,WindsorNow
513872614,TMountainJ
18666851,coskiauthority
2982226612,RMCollegian
246147218,flcindependent
87818432,themetonline
,ucd_advocate
22217634,duclarion
580106273,Berlin_Citizen
3020605048,Zip06CT
193343291,TheBportNews
16233170,connpost
712222846211198976,BristolObserver
1598165124,TheBristolPress
255577048,CheshireHerald
15838036,newstimes
901823270,TribunaCT
493606441,DarienHamletHub
60927740,DarienNews
28206743,darientimes
125988185,EastonCourier
124525847,ffldcitizen
37578208,westfaironline
424561177,Fairfield_HH
110725202,Fairfieldminute
67350803,FairfieldSun
70430533,greenwichpost
40941232,GreenwichTime
216091030,shorelinetimes
268783113,hamdenjournal
76753997,commercialrec
2153135070,GoToCTNow
78525505,hartfordbiz
14708814,hartfordcourant
67367761,SheltonHerald
82144335,JournalInquirer
16312441,Record_Journal 
462332278,thetowntimes
48388653,middletownpress
67364568,Milfordmirror 
67356193,monroecourier
29976138,thewesterlysun
73388665,mycitizensnews
109985001,NewBritHerald
55604811,ncadvertiser
27934849,NewCanaanNews
215029399,lavozhispanact
50183754,newhavenindy
34956062,nhregister
29271212,thedayct
110490947,thelct
20512928,thenewtownbee
398150810,Newtown_HH
2285868259,NorwalkHH
17769598,TheHourNews
19403608,norwichbulletin 
516801690,pvillecitizen
1208500478,ReddingHH
55613102,reddingpilot
66010495,HamletHubRidge
52784231,ridgefieldpress
67360631,ValleyGazette
351136799,SCitizen_News
16583845,stamadvocate
631210105,elsolnews
15013220,Stamford_Times
67347919,StratfordStar
61321048,registercitizen
67353799,trumbulltimes
3390157479,CTCommunities
286225494,WtbyObserver
17369431,rep_am
550461471,whvoiceads
56477388,westonforum
339678947,Westport_HH
110720391,westportminute
124524837,wptnews
17948831,WestportNow
68432208,wiltonbulletin
285047326,hh_wilton
15030677,wilton_villager
,WinstedJournal
16257027,milfordliving
297462874,NCDmag
583819900,berkshiremag
32602636,stamfordplus
23607273,connecticutmag
,moffly_media
16055731,TheRecorder
26428341,thecollegevoice
403757520,FairfieldMirror
44445991,Southern_News
84327770,uconn
146237229,Theubscribe
191699093,The_DailyCampus
,uhainformer
73249341,wesleyanargus
508249806,yaleherald
39114551,YaleDailyNews
1020260742,ambazaarmag
176855088,dcspotlight
9300262,politico
15922214,ROLLCALL
1917731,thehill
28614262,townhallcom
15945641,WBJonline
14437161,wcp
27703934,washexaminer
2467791,washingtonpost
14662354,washtimes
7782542,metroweekly
14238142,washingtonian
14467460,TheEagleOnline
18263820,gwhatchet
63314984,thehoya
19624983,GtownVoice
3458832856,thehilltop
234904800,TheStateNews
25136092,Doverpost
47234908,Sussex_Countian
50426819,CapeGazette
17366527,TranscriptMOT
197543708,MilfordBeaconDE
33086126,nwkpost
25082438,coastalpoint
184975309,DECoastPress
281657680,scsuntimes
14307764,delawareonline
50144015,delawaretoday
42771391,udreview
29447487,UDelaware
243378679,ApalachTimes
50003448,communitypapers
51370388,tbnwebmaster
376992537,BocaBeacon
405040895,DelrayPineapple
191124644,HappyHeraldNews
95929092,bocatribune
10424112,ndn
19344401,bradentonherald
14247572,TBOcom
19675112,OspreyObserver
42237444,cedarkeybeacon
41825409,News4Levy
328834734,chipleybugle
12699932,sunsentinel
48382055,TheWakullaNews
93963954,cnbulletin
35016478,CitrusChronicle
11054902,dbnewsjournal
35795271,beacononline
132364309,destinlog
23632864,SFBJNews
31017619,FloridaWeekly
14089276,thenewspress
3995172382,island_paper
18457416,tcpalm
8795782,nwfdailynews
8737662,TheAlligator
16297945,gainesvillesun
222132843,gulfbreezenews
21874587,JaxBizJournal
15572679,jaxdotcom 
42888846,folioweekly
32533893,JaxDailyRecord
43178691,KeyWestCitizen
34297914,OsceolaNews
16233017,theledger
28395172,dailycommercial
59147935,LehighAcresCit
340504310,LehighAcresGaze
32069292,suwanneedemocra
32485738,BakerCoPress
42935684,hometownjournal
15163708,marconews
97717795,margatenews
27218535,jcfloridannews
73538655,JCTIMES
17001533,florida_today
34641036,elnuevoherald
14085040,miamiherald
16861311,MiamiNewTimes
406974565,TheMiamiTimes
57656488,MiamiTodayNews
20457696,Miamicom
105234949,srpressgazette
22716962,navarrepress
36948979,OcalaStarBanner
30249337,claytoday
20629957,objupdate
1429761,orlandosentinel
605531775,TheOrlandoTimes
17446277,ORLANDOWEEKLY
27041654,ShinySheet
19216918,NewTimesBroward
15736836,pbpost
16636924,The_News_Herald
14834379,pnj
121533670,TheRecorderPV
507495968,CharlotteSunFla
242910659,PSJ_Star
18457416,TCPalm
46375072,staugrecord
14304462,tb_times
19671375,SanfordHerald
59150849,CaptivaSanibel
246844355,WaltonSun
112487649,BizObserverFL
6942422,heraldtribune
111123725,ObserverGroup
29283211,TheNewsSun
15822299,TDOnline
454850535,daytonatimes
265777578,flcourier
17129404,TBBJnewsroom
1470589358,Villages_News
1395181249,VeniceGondolier
1160968735,PWMonthly
48732959,towncrieronline
235694781,DiarioPalmBeach
29468502,newschiefweb
169154152,iwantaBUZZ
87267905,floridamonthly
46135936,FL_Sportsman
1488080706,FLTravelLife
56113927,resident321
467946364,TFamuan
28627312,upressonline
1650718975,betweentampa
118512120,FSView
122310259,FTCrimson
34125658,UCFnews
8737662,thealligator
12956712,MiamiHurricane
23632423,USFOracle
262412005,Minaret
16398730,UNFspinnaker
210679476,Albany_Herald
114583777,thealmatimes
107207541,NeighborNews
4919841,northfulton
57334881,WiregrassFarmer
14935240,onlineathens
23628802,atlbizchron
714764250,adwnews
4170491,ajc
199252851,theatlantavoice
75277551,Reporter_News
14194036,cl_atlanta
107210395,DeKalbNeighbor
154167378,ELNUEVOGEORGIA
14616304,dailyreport
22541401,LikeTheDew
29778623,MundoHispanico
22220447,AUG_Chronicle
1954490168,TheMetroSpirit
18137042,postsearchlight
22074820,waltergeiger
107207541,neighbornews
31492829,blacksheartimes
8942262,newsobserver
1151287537,timesgeorgian
1223040998,Brunswick_News
399024035,TheFloridaStar
90976305,CalhounTimes
336144452,CherokeeTribune
15537849,StarNewsOnline
1151287537,TimesGeorgian
199010159,dailytribnews
2976826756,ClaytonTribune
14882842,ledgerenquirer
231883981,rockdalecitizen
84102858,covnews
471990351,newton_citizen
138450130,forsythnews
43330472,thedailycitizen
28837048,mcjournal
121865456,dawsonnews
17685047,CRNews_DeKalb
774482057598754816,championNews
339119719,DglsEnterprise
33384894,douglassentinel
47427241,courierherald
244594745,dunwoodycrier
2472760855,theMSGR
456030236,TimesCourier
42388488,thecitizencom
27058199,gtimes
1225937292,GriffinDNews
35737246,coastalcourier
140055121,ClinchCoNews
1728918818,My_JPA
47195109,pickensprogress
264164599,brightsidenews1
117447598,CatoosaWalker
169699740,lagrangenews
314877608,GwinnettCitizen
31123165,GwinnettDaily
12704612,telegraphga
467728572,MorganCitizen
85329284,mdjonline
21274281,ColumbiaCounty
39510268,unionrecorder
73103059,waltontribune
3171060136,themobserver
16445311,TimesHerald
611734890,hhjnews
217469130,PowderSprgsNews
67687282,bryancountynews
111680656,EffinghamHerald
21315772,romenewstribune
6313192,ConnectSavannah
9164672,savannahnow
616346759,Savannah_Herald
322748979,thesavannahtrib
34957548,ConnectBoro
22811513,boroherald
21588008,TheSvilleNews
2821961510,emanuelcolive
120028102,timesenterprise
1249962008,TiftonGazette1
24713181,TheVDT
1513355263,WWNewsReporter
353772009,TheOEnews
27677289,BarrowCntyNews
138194061,Barrow_Journal
15230705,discoveratlanta
52161492,savmag
26867350,georgiamagazine
19022786,exploregeorgia
30774215,TowneLaker
26306540,emorywheel
21969143,GCSUnade
28835000,TheGeorgeAnne
58389888,gsusignal
16024039,the_nique
20803734,ksusentinel
22385426,scaddistrict
,TheStingSPSU
775938918646550529,UGACOLUMNS
15587639,redandblack
15675316,vsuspectator
297686425,HITribuneHerald
227133998,thehawaiiherald
23564573,hawaiireporter
212350908,hawaiistar
104389564,civilbeat
126424795,staradvertiser
22874714,midweekhawaii
23663732,pacificbiznews
115466478,westhawaiitoday
26126881,thegardenisland
58544650,TheMauiNewsHI
218369497,alohamag
26403494,kealakainews
132279035,KaLeoOHawaii
35019946,DallasCoNews
119199449,akronht
125684465,ButlerCountyTJ
281576906,HeraldIndex
436884418,AmesTribNews
601334117,JournalEureka
301547241,NewsTelegraph
344719254,BettendorfNews
95720152,bdemo1
80951230,newsrepublican
117491592,BCTrib
15085181,thehawkeye
2864361173,calmarcourier
14370739,gazettedotcom
43950445,dailyiowegian
98489502,CCPress
499946662,ClarindaCHJ
1249297748,WCMonitor
480912897,CLReporter
44433231,ClintonHerald
48716479,nonpareilonline
10613072,qctimes
17749447,RCReader
13657922,dmregister
67374305,telegraphherald
117490160,eaglegroveeagle
58546735,EsthervilleDly
89558668,Messenger_News
28990883,dailydem
77337860,GrundyReg
78674598,hamptonchron
3329216232,IdaCoCourier
281298945,IndianolaTrib
21877818,presscitizen
1688480862,TimesCitizen
1247228114,KanawhaReporter
309202927,dailygatecity
84412649,keotaeagle
45711888,progressreview
124546616,GraphicAdvocate
310462091,lmgeditor
17023645,lmdsentinel
188481249,CalhCoJournal
76508902,marshalltowntr
121231327,globegazette
219380258,montiexp
236909902,MPNewstweets
80333171,journalonline
266237404,NevadaJournal
2752696471,NHTribune
125422305,newsharonsun
719046103,NewtonDNews
733708079728975872,NLleadernews
1247317488,OgdenReporter
64288569,CapDemo
376859258,OskyHerald
19031717,OttumwaCourier
370709139,PellaChronicle
3153282168,ThePerryChief
125383937,sheffieldpress
4855040201,NWestIowaREVIEW
1596414373,ValleyNewsToday
115698155,sigourneynews
12663042,scj
378239912,SolonEconomist
2340986982,SpDailyReporter
326177441,DickinsonCoNews
1109441546,MidIowaEnterpri
2377274767,SLPilotTribune
42892765,sltimes
58870935,TamaToledoNews
18218604,wcfcourier
531382943,wavnewspapers
58525782,FreemanJournal
1202199205,WBTimes
391481716,WLINDEX
28639935,iowafarmertoday
1525051118,okobojionline
16788948,Travel_Iowa
824831006796574721,thetack
70567895,TimesDelphic
21555437,thesandb
15832179,iowastatedaily
,communiqueksp
72186333,SimpsonianSC
15925848,TheDailyIowan
770468660,NorthernIowan
,WartburgCircuit
8292702,Boiseweekly
16043218,IBRnews
8980312,idahostatesman
3934221,spokesmanreview
87033578,tetonvalleynews
29769106,clarkcorbin
84655479,IdahoMtExpress
29625151,kunamelbanews
18012631,lewistontribune
52083750,mpdailynews
18087829,IdahoPressTrib
65682011,IdahoStateJ
25596437,uvsj
33584998,DailyBee
133816716,twinfallstn
637184541,idahofallsmag
16560899,visitidaho
1247001152,IdahoMag
30414181,snowest
30042396,spudmanmag
3392401,arbiteronline
41413147,byuiscroll
565213710,isubengal
76890626,ThePioneerLog
45021105,nwnazarene
104002962,uiargonaut
58490366,MySuburbanLife
15663103,altontelegraph
2598369368,gazettedemocrat
8960722,dailyherald
14391192,beaconnews
2377355617,CassStarGazette
15670006,bellevillenewsd
18874087,Pantagraph
762661016,buffalogroveppn
364444851,ChronCambridge
882849601,CantonLedger
18200760,thesouthern
846002108,carmitimes
16826147,news_gazette
123673439,jgtconline
37051661,AustinWeeklyChi
385994164,BevRevNews
19005345,bulgariasega
214159640,CrusaderNewspap
160596522,ChiDefender
16104602,chicago_reader
17543416,ChicagoReporter
12811952,suntimes
7313362,chicagotribune
18148466,CrainsChicago
1377584916,Dzwiazkowy
19541165,ExtraNewspaper
74961830,FraNoi
138565725,HydeParkHerald
400456060,India_Bulletin
551454219,Irishnewschgo
41417783,larazachicago
,https://twitter.com/News_Lawndale
2348821724,NadigNewspapers
16381558,redeyechicago
177318459,ReflejosNews
,vivelohoy
30284449,WindyCityTimes1
18703718,dailysouthtown
3290363160,ClintonJournal
20787622,NWherald
21784801,commercialnews
8880952,heraldandreview
762697322,DeerfieldReview
17429521,daily_chronicle
18093695,saukvalley
18560313,eastpeoriatimes
43983462,theedwi
286513965,EDNSports
35804289,ELBURNHERALD
18773778,couriernews
314032551,ElkGroveJournal
16831293,elm_leaves
755747971,Evanston_Review
2249974361,EvRoundTable
236263968,FP_Review
39607855,FrankfrtStation
759937597,FranklinPark_HJ
22954663,journalstandard
2798773774,GalenaGazette
17041697,galesburg
1027042704,galvanews
873890852,gen_republic
18874087,pantagraph
763795381,Glencoe_News
102703446,JournalGV
241182052,GlenviewLantern
298899447,CNHNews
2327677639,HParkLandmark
760750244,HighlandParkPPN
1112736205,JournalNewsIL
16659634,Doings_Hinsdale
730464717198786560,TheHinsdalean
19454716,HomerHorizon
22339298,journalcourier
216794222,jcjnews
102446961,Joliet_HN
14873724,tdjnews
33902769,newstrib
762677719,lake_forester
760785061,lz_courier
762764516,libertyvillePPN
770099005,Lincoln_Courier
760644182,LincolnwoodNews
263222022,LockportLegend
828294864,McDonoughVoice
2593142654,Mahomet_Daily
31900907,DRNewsOnline
84108007,MetroplisPlanet
39778257,MokenaMessenger
50000303,dispatch_argus
794109384,ReviewAtlas
351726959,MorrisHerald
50749114,MortonTimesNews
619668289,mg_champion
36528086,mvrn
760764523,mundeleinreview
17974880,NapervilleSun
39607917,TheNLPatriot
858253806,NewsJasper
619616131,NilesHSnews
28146868,Buglenewspapers
1315851828,NilesJournal
760664437,norridgeHH_news
755783828,Northbrook_Star
512242904,NorthbrookTower
14327874,OakLeavesNews
121820535,oakpark
858283411,NewsOlney
349627218,OrionGazette
38252658,opprairie
72646689,mywebtimes
128608111,theregionalnews
301218492,ParkRidge_HA
155695119,PekinDailyTimes
83490391,bradleyhoops
17800696,pjstar
216796136,PikePressNews
974261479,PlainfieldNews
774342162,TheDailyLeader
63720288,WhigNews
759955015,RF_forestleaves
293129700,RBLandmark
121785094,robdailynews
50664589,RockRiverTimes
14026372,rrstar
20458841,kcchronicle
50314717,StJosephleader
762701472,skokie_review
60678378,ILTimes
13604262,sjrbreaking
609379481,NewsProgress
249243484,BreezeCourier
38739280,TinleyJunction
196735058,countyenews
762682232,vernonhillsPPN
